district,date,month,year,visitors
Jogulamba Gadwal ,01-06-2017,June,2017,32.0
Jogulamba Gadwal ,01-07-2017,July,2017,34.0
Jogulamba Gadwal ,01-08-2017,August,2017,25.0
Jogulamba Gadwal ,01-09-2017,September,2017,42.0
Jogulamba Gadwal ,01-10-2017,October,2017,13.0
Jogulamba Gadwal ,01-11-2017,November,2017,21.0
Jogulamba Gadwal ,01-12-2017,December,2017,10.0
Kamareddy ,01-01-2017,January,2017,0.0
Kamareddy ,01-02-2017,February,2017,0.0
Kamareddy ,01-03-2017,March,2017,0.0
Kamareddy ,01-04-2017,April,2017,0.0
Kamareddy ,01-05-2017,May,2017,0.0
Kamareddy ,01-06-2017,June,2017,0.0
Kamareddy ,01-07-2017,July,2017,0.0
Kamareddy ,01-08-2017,August,2017,0.0
Kamareddy ,01-09-2017,September,2017,0.0
Kamareddy ,01-10-2017,October,2017,0.0
Kamareddy ,01-11-2017,November,2017,0.0
Kamareddy ,01-12-2017,December,2017,0.0
Karimnagar ,01-01-2017,January,2017,0.0
Karimnagar ,01-02-2017,February,2017,0.0
Karimnagar ,01-03-2017,March,2017,0.0
Karimnagar ,01-04-2017,April,2017,0.0
Karimnagar ,01-05-2017,May,2017,0.0
Karimnagar ,01-06-2017,June,2017,0.0
Karimnagar ,01-07-2017,July,2017,0.0
Karimnagar ,01-08-2017,August,2017,0.0
Karimnagar ,01-09-2017,September,2017,0.0
Karimnagar ,01-10-2017,October,2017,0.0
Karimnagar ,01-11-2017,November,2017,0.0
Karimnagar ,01-12-2017,December,2017,0.0
Khammam,01-01-2017,January,2017,0.0
Khammam,01-02-2017,February,2017,0.0
Khammam,01-03-2017,March,2017,0.0
Khammam,01-04-2017,April,2017,0.0
Khammam,01-05-2017,May,2017,0.0
Khammam,01-06-2017,June,2017,0.0
Khammam,01-07-2017,July,2017,0.0
Khammam,01-08-2017,August,2017,0.0
Khammam,01-09-2017,September,2017,0.0
Khammam,01-10-2017,October,2017,0.0
Khammam,01-11-2017,November,2017,0.0
Khammam,01-12-2017,December,2017,0.0
Komaram Bheem Asifabad,01-01-2017,January,2017,0.0
Komaram Bheem Asifabad,01-02-2017,February,2017,0.0
Komaram Bheem Asifabad,01-03-2017,March,2017,0.0
Komaram Bheem Asifabad,01-04-2017,April,2017,0.0
Komaram Bheem Asifabad,01-05-2017,May,2017,0.0
Komaram Bheem Asifabad,01-06-2017,June,2017,0.0
Komaram Bheem Asifabad,01-07-2017,July,2017,0.0
Komaram Bheem Asifabad,01-08-2017,August,2017,0.0
Komaram Bheem Asifabad,01-09-2017,September,2017,0.0
Komaram Bheem Asifabad,01-10-2017,October,2017,0.0
Komaram Bheem Asifabad,01-11-2017,November,2017,0.0
Komaram Bheem Asifabad,01-12-2017,December,2017,0.0
Mahabubabad ,01-01-2017,January,2017,0.0
Mahabubabad ,01-02-2017,February,2017,0.0
Mahabubabad ,01-03-2017,March,2017,0.0
Mahabubabad ,01-04-2017,April,2017,0.0
Mahabubabad ,01-05-2017,May,2017,0.0
Mahabubabad ,01-06-2017,June,2017,0.0
Mahabubabad ,01-07-2017,July,2017,0.0
Mahabubabad ,01-08-2017,August,2017,0.0
Mahabubabad ,01-09-2017,September,2017,0.0
Mahabubabad ,01-10-2017,October,2017,0.0
Mahabubabad ,01-11-2017,November,2017,0.0
Mahabubabad ,01-12-2017,December,2017,0.0
Mahbubnagar,01-01-2017,January,2017,42.0
Mahbubnagar,01-02-2017,February,2017,39.0
Mahbubnagar,01-03-2017,March,2017,38.0
Mahbubnagar,01-04-2017,April,2017,39.0
Mahbubnagar,01-05-2017,May,2017,41.0
Mahbubnagar,01-06-2017,June,2017,43.0
Mahbubnagar,01-07-2017,July,2017,42.0
Mahbubnagar,01-08-2017,August,2017,44.0
Mahbubnagar,01-09-2017,September,2017,54.0
Mahbubnagar,01-10-2017,October,2017,47.0
Mahbubnagar,01-11-2017,November,2017,49.0
Mahbubnagar,01-12-2017,December,2017,42.0
Mancherial,01-01-2017,January,2017,0.0
Mancherial,01-02-2017,February,2017,0.0
Mancherial,01-03-2017,March,2017,0.0
Mancherial,01-04-2017,April,2017,0.0
Mancherial,01-05-2017,May,2017,0.0
Mancherial,01-06-2017,June,2017,0.0
Mancherial,01-07-2017,July,2017,0.0
Mancherial,01-08-2017,August,2017,0.0
Mancherial,01-09-2017,September,2017,0.0
Mancherial,01-10-2017,October,2017,0.0
Mancherial,01-11-2017,November,2017,0.0
Mancherial,01-12-2017,December,2017,0.0
Medak ,01-01-2017,January,2017,0.0
Medak ,01-02-2017,February,2017,0.0
Medak ,01-03-2017,March,2017,0.0
Medak ,01-04-2017,April,2017,0.0
Medak ,01-05-2017,May,2017,0.0
Medak ,01-06-2017,June,2017,0.0
Medak ,01-07-2017,July,2017,0.0
Medak ,01-08-2017,August,2017,0.0
Medak ,01-09-2017,September,2017,0.0
Medak ,01-10-2017,October,2017,0.0
Medak ,01-11-2017,November,2017,0.0
Medak ,01-12-2017,December,2017,0.0
Nagarkurnool ,01-01-2017,January,2017,19.0
Nagarkurnool ,01-02-2017,February,2017,25.0
Nagarkurnool ,01-03-2017,March,2017,24.0
Nagarkurnool ,01-04-2017,April,2017,29.0
Nagarkurnool ,01-05-2017,May,2017,31.0
Nagarkurnool ,01-06-2017,June,2017,35.0
Nagarkurnool ,01-07-2017,July,2017,25.0
Nagarkurnool ,01-08-2017,August,2017,23.0
Nagarkurnool ,01-09-2017,September,2017,32.0
Nagarkurnool ,01-10-2017,October,2017,18.0
Nagarkurnool ,01-11-2017,November,2017,21.0
Nagarkurnool ,01-12-2017,December,2017,29.0
Nalgonda,01-01-2017,January,2017,0.0
Nalgonda,01-02-2017,February,2017,0.0
Nalgonda,01-03-2017,March,2017,0.0
Nalgonda,01-04-2017,April,2017,0.0
Nalgonda,01-05-2017,May,2017,0.0
Nalgonda,01-06-2017,June,2017,0.0
Nalgonda,01-07-2017,July,2017,0.0
Nalgonda,01-08-2017,August,2017,0.0
Nalgonda,01-09-2017,September,2017,0.0
Nalgonda,01-10-2017,October,2017,0.0
Nalgonda,01-11-2017,November,2017,0.0
Nalgonda,01-12-2017,December,2017,0.0
Nirmal,01-01-2017,January,2017,0.0
Nirmal,01-02-2017,February,2017,0.0
Nirmal,01-03-2017,March,2017,0.0
Nirmal,01-04-2017,April,2017,0.0
Nirmal,01-05-2017,May,2017,0.0
Nirmal,01-06-2017,June,2017,0.0
Nirmal,01-07-2017,July,2017,0.0
Nirmal,01-08-2017,August,2017,0.0
Nirmal,01-09-2017,September,2017,0.0
Nirmal,01-10-2017,October,2017,0.0
Nirmal,01-11-2017,November,2017,0.0
Nirmal,01-12-2017,December,2017,0.0
Nizamabad,01-01-2017,January,2017,0.0
Nizamabad,01-02-2017,February,2017,0.0
Nizamabad,01-03-2017,March,2017,0.0
Nizamabad,01-04-2017,April,2017,2.0
Nizamabad,01-05-2017,May,2017,0.0
Nizamabad,01-06-2017,June,2017,0.0
Nizamabad,01-07-2017,July,2017,0.0
Nizamabad,01-08-2017,August,2017,0.0
Nizamabad,01-09-2017,September,2017,0.0
Nizamabad,01-10-2017,October,2017,0.0
Nizamabad,01-11-2017,November,2017,0.0
Nizamabad,01-12-2017,December,2017,0.0
Peddapalli,01-01-2017,January,2017,0.0
Peddapalli,01-02-2017,February,2017,0.0
Peddapalli,01-03-2017,March,2017,0.0
